STATE,County,FACILITY NAME,AVG. ESTIMATE RELEASE (lb)
SC,Abbeville,BURNSTEIN VON SEELEN,2.5
SC,Abbeville,FLEXIBLE TECHNOLOGIES INC,0
SC,Abbeville,THERMAFLEX,0
SC,Abbeville,SAGE AUTOMOTIVE INTERIORS - ABBEVILLE PLANT,0
SC,Abbeville,PRYSMIAN POWER CABLES & SYSTEMS USA LLC,186.01
MS,Adams,WEBLAIN&SONS INC NATCHEZ ASPHALT PLANT,133.04
MS,Adams,WORLD ENERGY NATCHEZ LLC,3910.5
SC,Aiken,OWENS CORNING,8416.75
SC,Aiken,ALLNEX USA INC,196.62
SC,Aiken,HUBBELL POWER SYSTEMS INC,2697.17
SC,Aiken,ALLNEX USA INC NORTH AUGUSTA FACILITY,188.42
SC,Aiken,BRIDGESTONE AIKEN COUNTY PLANT,497.01
SC,Aiken,BRIDGESTONE AMERICAS TIRE OPERATIONS LLC AIKEN COUNTY OFF,218.1
SC,Aiken,AMBIOPHARM INC,114.03
SC,Aiken,MTU AMERICA INC AIKEN,5.75
SC,Aiken,ASCO LP,0.01
SC,Aiken,HPC HOLDINGS INC,676.55
SC,Aiken,AGY AIKEN LLC,28008.38
SC,Aiken,US DOE SAVANNAH RIVER OPS,2613.39
SC,Aiken,GRANITEVILLE SPECIALTY FABRICS,13247.38
SC,Aiken,AUTONEUM NA INC,0
FL,Alachua,ARGOS NEWBERRY PLANT,3089.53
FL,Alachua,AIR LIQUIDE ADVANCED MATERIALS INC,2
FL,Alachua,SIVANCE LLC,401.33
FL,Alachua,GAINESVILLE READY MIX PLANT,0.14
FL,Alachua,CEMEX GAINESVILLE NORTH,0
FL,Alachua,GAINESVILLE REGIONAL UTILITIES DEERHAVEN GENERATING STATION,198.55
FL,Alachua,BEAR ARCHERY INC DBA ESCALADE SPORTS,0.01
NC,Alamance,INDULOR AMERICA LP,101.25
NC,Alamance,CANFOR SOUTHERN PINE - GRAHAM PLANT,7519.54
NC,Alamance,EDWARDS WOOD PRODUCTS INC,0.65
NC,Alamance,HONDA POWER EQUIPMENT MANUFACTURING,385.9
NC,Alamance,LIGGETT GROUP LLC,4152.5
NC,Alamance,SOUTH ATLANTIC GALVANIZING,1605.08
NC,Alamance,ENGINEERED CONTROLS INTERNATIONAL LLC,5
